Rate,Name,date,variation,Review,verified reviews
5,Raymond C. Nadeau,8-May-18,, ,very impressed with the quality
3,Eric B,8-May-18,, ,"Failed on me in a bad way - had only used it a dozen times, suddenly it would not close.  I had a long bus ride with an open umbrella.  Would have thrown it away but weather was bad at destination and I had a mile walk once there."
5,Bradley Phares,8-May-18,, ,"So far, so good! I haven't had to use it in high winds yet, but the umbrella seems to be made of really great quality!"
5,barry stephenson,7-May-18,, ,Great product
5,Nicky,7-May-18,, ,"Great sturdy travel umbrella. A little heaver than the lightest ones, but I can trust it and have no problem packing it in rainy situations."
4,Perry,7-May-18,, ,The only umbrella that has lasted me longer than a few months.  2 years and going strong!  Very hard to close (or maybe I'm just weak).
5,D. Gregorio,7-May-18,, ,"When taking it out of the box, the first thing I noticed was its weight. Itâ€™s heftier than I expected, but not too much to keep in a backpack.There was rain soon after it arrived, so I was able to test it out. It does itâ€™s job with no problem. The release button works well and isnâ€™t too sensitive. The teflon coating helped to dry it quickly, which is an added bonus."
5,Stephen A. Denahan,7-May-18,, ,Great product. Easy to open and close. I'm delighted!
4,Alvin,6-May-18,, ,"small enough for easy carry, overall is a pretty decent made umbrella. I just wish the carry bag they can make it a little bit bigger because is a bit hard to put the bag back on"
5,Zavage,6-May-18,, ,"Being a bachelor, I never really felt the need to own an umbrella since I could just wear a hooded jacket if necessary. Reality hit me in the face real quick when it stormed intensely one day as I was walking across campus. It was miserable as you could guess. So of course, I decided to finally get my first umbrella and ran across this beaut. I have absolutely no complaints for it: it's simple and black as it should be, it opens up very easily, and has so far been able to resist powerful winds. I'll be using this for as long as I possibly can when needed."
4,R.D.H.,6-May-18,, ,Just received the umbrella yesterday.  Looks real good.  Repels water just like advertised.  The button open and close is a great feature.Now just can't wait for rain....
5,Raymond,6-May-18,, ,Excellent umbrella. Holds up well in the wind. I like the fact that it opens and closes with the push of a button. I've bought two.
5,techyoda,5-May-18,, ,"For the first time in my life I have put some thought into the umbrella I have purchased.  I live in Southern California so it doesn't rain much but when it does, I want to have a reliable and durable umbrella on hand.  I was impressed with this the moment I opened it.  I'm hoping it will last me a very long time"
5,AmazCustomer,5-May-18,, ,I love how easy it is to open and close it. It's good for both men and women.
5,Marty3,5-May-18,, ,"I havenâ€™t had to use this in any torrential downpours, thankfully LOL however this does open very quickly which will be beneficial when youâ€™re in some sort of rain storm, and the close button also works very well, this does only close the top part of the umbrella you do have to slide it down to completely  Close the pole part  Overall I am very pleased with this umbrella, it does appear very durable"
1,Shopaholicru2,5-May-18,, ,"Brought 2 umbrellas to NYC for Easter vacation and 1 broke the very first time I used it. Very, Very, Very disappointed. Afraid to us the other one!"
5,Markus Miller,4-May-18,, ,"I was very impressed with the quality of this umbrella, so much so, that I purchased a second for a family member.  LIFETIME WARRANTY.  That wil tell you that they are confident with the construction.  Folds nice and small to fit just about anywhere.  Very happy with this purchase."
5,christine lorek,4-May-18,, ,sturdy in the wind
5,Kelly D,4-May-18,, ,"Purchased for a trip to Europe.  While I did not need to use it, it was compact enough to fit inside a tote bag and was not too heavy to carry around all day."
2,AA,3-May-18,, ,"I bought this about a year ago but didn't use it for more than a couple of weeks total.It still works just fine, but the umbrella itself isn't any more &#34;windproof&#34; than generic packable umbrellas from my school's gift store. The metallic part that extends feels very flimsy and sways with strong winds too easily. Not at all rigid as I expected.As long as it works (which it does) then I'm happy, but my biggest gripe is the top part of the umbrella just fell off one day. Again, I don't use this umbrella often. It's been in a wardrobe for the majority of the past year until Spring weather came along.I don't get why this is advertised as very durable. Had to deduct 3 stars for advertising an average umbrella as some miracle umbrella."
5,Peter Lazorcik,3-May-18,, ,"Great, durable, sturdy umbrella. Doesn't get ruined in the wind. Big enough to keep you and your significant other dry, but not obnoxiously big. 10/10 would recommend!"
5,Larry Dodson,3-May-18,, ,Stood up to Seattle and Denver rain and wind. Strongly repels water and does not buckle n strong winds Highly recommend
5,Dustin Rhodes,3-May-18,, ,A great high-quality umbrella with pushbutton to deploy and to my surprise push button to retract. Have not used the product yet but seems to have excellent coverage and built from quality materials.
1,KMc,3-May-18,, ,"So very disappointed. This &#34;windproof&#34; umbrella turned inside out twice this morning within 5 minutes. The quality is equally poor with one of the prongs (sorry, I don't know the official name) also being detached from the fabric within two days."
2,Jamar b.,2-May-18,, ,I don't like things that advertise one thing and do another. The umbrella is a very nice looking umbrella but is small. I know it's a travel umbrella but it feels way smaller then my cheap IKEA travel umbrella. Also it's super easy for the umbrella to fold up from wind. One good gust and your looking like Mary Poppins nightmare. I will say the open close mechanism works well. That's the only reason this review is not 1 star
5,ALLAN,2-May-18,, ,Excellent product. High quality
5,Muhammad Chaudhary,2-May-18,, ,"I've had this umbrella for about one and half years now. I wanted to wait to review a product like this to really be able to test it out long term. So far its easily the best umbrella I've ever owned. It's handled heavy winds and rain just fine and has never snapped like other umbrellas tended to do. The button to open and close it still functions great. As long as it doesn't get lost or stolen, I don't see myself needing a new umbrella for a long time.The only individuals I wouldn't recommend this to is the type of person that keeps losing their umbrella. Everyone else should get this one."
2,Krysrox413,2-May-18,, ,"For all the money I paid for this umbrella, I'm incredibly disappointed that after TWO uses, the inner metal is rusting! I left it open, (not fully, since it would be in the way in my small home), but it took an eternity to dry out and when it finally had, I noticed the rust! I expected a much better quality at the cost I paid. Also, the inside has plastic parts! I was purchasing this for it's &#34;windproof&#34; ability. I guess they meant a light breeze. In real weather, this isn't the go-to. Of course, I bought it in preparation of the bad weather, and am past my return period. Oh well. Live and learn."
5,Dancer,2-May-18,, ,Excellent on a trip to windy rainy Paris in April.
4,Pratik,1-May-18,, ,"Great sturdy umbrella. It got 4 stars from me because it is a bit small. For someone like me who is 6 foot, it does not really help on a rainy day."
4,algeorge1,1-May-18,, ,"great umbrella, small and easy to operate"
5,SANDRA MARIA BEZERRA DOMINGUES,1-May-18,, ,Quality product. Arrived on time. Very good!
5,GeoffL,1-May-18,, ,Solid product.
5,Andrew E,1-May-18,, ,Tested in rain and wind product works exactly as described. And with a lifetime warranty you really can't go wrong!
5,Way out west,30-Apr-18,, ,I love this umbrella. Simple product that does exactly what it needs to and doesn't malfunction.Easily fits in your backpack or purse without being clunky. I would recommend this product to anyone who just wants an umbrella to stash in their bag just in case it rains.
5,Mary Oliver,30-Apr-18,, ,Using the product now in rainy Great Britain.  So far so good.  Only issue is the weight of the umbrella.  Thought it was lighter weight.
1,Andrew O,30-Apr-18,, ,"One thunderstorm and the umbrella is already broken. Not sure if we got a dud, but have no idea how this is rated so highly. Windproof claim is completely inaccurate. Would not recommend."
5,julie wickstrom,30-Apr-18,, ,So far so good. This shipped quickly. It is compact enough to easily fit in my laptop bag. I have used this only once and it worked well. It was not a particularly windy day but it was Boston and wind is an issue. The umbrella held up and didn't turn inside out. The sleeve cover thing is also good as I was able to put it over my wet umbrella and it stayed dry on the outside.
5,joaquin nunez g,29-Apr-18,, ,"The umbrella is great, the size is perfect to carry on everywhere, I would recommend to all my friends this great umbrella"
5,jnichol1,29-Apr-18,, ,Perfect size and good construction
4,Bill,29-Apr-18,, ,compact and functional
4,bevy104,29-Apr-18,, ,Maintains its posture with winds as indicated in discription. Fits well in kids bookbag.
2,Drummer52895,29-Apr-18,, ,"I bought this umbrella because it was the highest rated umbrella on Amazon. In a moderate rain storm the water actually leaked through the fabric material! I was shocked to look up and see water coming through part of the umbrella. The fabric seemed to be porous, there was no gaping hole or other defect.Also, moderate wind was able to flip this umbrella. It did not destroy the umbrella but it did flip. Not windproof, although it does seem more rigid than most umbrellas."
5,NB,29-Apr-18,, ,"The umbrella seems well made and opens/closes easily. The handle is soft and yet heavy duty. I haven't used it in the rain yet, but it certainly seems as described online."
5,Tashi,28-Apr-18,, ,"No chance to use this umbrella yet, but it is beautifully made and came packaged perfectly. I look forward to using it for a very long time."
5,JFD3,28-Apr-18,, ,"Compact, easy opening and closing.  Seems well constructed.  Fits in my brief case.  Coverage by the canopy seems adequate although it has not been tested in the wind and rain yet."
5,J,28-Apr-18,, ,Seems sturdy and efficient. It's kept me dry a couple of times already!
5,TMK,27-Apr-18,, ,Love it! Now to see how long it lasts.
5,Cathy,27-Apr-18,, ,We liked the umbrella so much we just purchased a second one.  It is a great size for travel and and the easy open and close works very well.
5,Aisha T,27-Apr-18,, ,Great travel umbrella - holds up to the Chicago winds
5,br3akswitch,27-Apr-18,, ,"I got this umbrella last year, it's a great product and it withstood a lot of bad weather (I'm from New England). Customer service is great as well. If you need an solid umbrella, look no further."
5,AarS.,27-Apr-18,, ,Seems like a very well made umbrella. You can feel the quality in the weight of it. Only got to use it 3 times but once was in high winds and it performed flawlessly. Would highly recommend to anybody looking for compact umbrella
5,Mariano R.,26-Apr-18,, ,"Excellent product, a little bit on the heavy side, but understandable for the build quality"
4,Michael Ascher,26-Apr-18,, ,"Since I bought the umbrella, it has not rained, however, I have nevertheless operated it and found it to be a sturdy device.  I have no doubt that when I do need it, it will serve its purpose in a satisfactory manner."
5,Ryan,26-Apr-18,, ,"Recently used this umbrella at MotoGP here in Austin, it's small, but works as intended."
4,Xiaoli Ren,26-Apr-18,, ,I have not used it yet.  It looks good though.
1,AmazCustomer,26-Apr-18,, ,"Come on guys... you designed an umbrella and you donâ€™t use water resistant material ? Using steel instead of stainless steel, even if itâ€™s coated it will still rust. Why? Because itâ€™s an umbrella. Itâ€™s meant to be in constant contact with water. I know steel is cheaper than stainless but come on !!  #facepalm #design101"
1,kristen,25-Apr-18,, ,"I purchased this based on the positive reviews, and it seemed to work well when the rain and wind were light. However, one strong gust of wind on a moderately windy/rainy day totally broke one of the &#34;arms&#34; which now hangs limp. I've owned this umbrella for two months. Very disappointed."
3,Anonymous,25-Apr-18,, ,I wanted an umbrella for commuting by train. This one is very solid and heavy - I can't add any more weight to my bag.
5,Song,25-Apr-18,, ,Have to give the seller 5 starsReally nice and ready to help.
3,Robcar07,25-Apr-18,, ,"Okay quality for the price, but it is a little flimsy and it's actually not that light"
5,Jana,25-Apr-18,, ,"So far so good, used it today"
1,Gabe Sachs,25-Apr-18,, ,"I read all of the reviews and everyone appears to be happy woth this thing but I am in New York City right now and it is raining. I used it for 45 minutes, closed it and then opened it up again five minutes later and it wouldnâ€™t stay open. A string was sticking out from the top and it no longer works. Very very disappointed. It worked well for 45 minutes so if you only need an umbrella for 45 minutes, this is the one to buy.  Junk"
5,Linann,25-Apr-18,, ,"I work in New Haven CT, and in the fall, and winter the wind comes right off the water, so I'm always in the market for an umbrella that will last for a couple of years. I learned from experience, that there is no such thing as an umbrella that can stand up to 50 mph. Most good quality umbrellas can't stand up to winds 20 mph. What I'm looking for is a strong auto open/close, and can stand up to heavy rains. This umbrella is very good quality, with a strong open/close button. I will update when needed, as of now I'm very happy with my purchase."
3,Trisha,25-Apr-18,, ,Used this umbrella on our trip to NYC.  We loved this umbrella as it was super sturdy and the opening mechanism was an added bonus.  The umbrella itself wasn't too heavy for us and it was convenient having the tie on the handle to keep it on my wrist.  But I wouldn't say that this is wind proof.  After a few gusts the umbrella was inside out and broke.  So we just used our rain jackets for the rest of our trip.
2,AmazCustomer,25-Apr-18,, ,"Really wanted to like this product. I used it twice so far and the teflon coating works well for quickly drying however, one small bump into another person's umbrella on the way to work today already broke one of the fiberglass ribs. This really makes me question this umbrella's durability in the wind and does not help me justify the 20 bucks I spent on it."
5,claudette Foster,24-Apr-18,, ,Small and light
5,AKRONMAN,24-Apr-18,, ,Made very well. Frame is more heavy duty than other brand umbrella I have been buying
5,Steve,24-Apr-18,, ,I love this umbrella but a spring that was on the umbrella snapped and i would like a warranty replacement!Great umbrella!
4,pokey,24-Apr-18,, ,"They work pretty well, but are a little heavy for carrying.  Size is suitable and easy to open and close."
4,AltS. Asada,24-Apr-18,, ,"The ease of opening and closing of the umbrella, seems very sturdy, and would last a long time because of its sturdy construction"
4,Dianne,24-Apr-18,, ,Product was as described. Havenâ€™t used it in a wind/rain storm yet. So I canâ€™t evaluate how good it will be.
5,AmazCustomer,24-Apr-18,, ,"I've only used this umbrella once, but so far, I love it!"
4,RShelly,24-Apr-18,, ,"Although I have not used the umbrella yet, it seems like it will withstand strong winds"
5,K. Picard,24-Apr-18,, ,"I wanted a small umbrella that would last and it's been almost a year now and this umbrella's still working well, even though it did flip in the wind one time. It's much stronger than the other umbrellas of this size that I've had in the past, and the push button and carrying sleeve are convenient."
4,Araceli,24-Apr-18,, ,"It broke the second week with the wind. Portable, but not wind resistant. However, great, polite customer service! My money was refunded.Thanks-Araceli"
4,Marcia,24-Apr-18,, ,I have not used the umbrella yet but will be taking it on vacation in a few weeks.  The only negative at this time is that the umbrella is a little heavier than I expected
5,Delano Mizrahi,24-Apr-18,, ,Very high quality! Love it !
5,colonel,24-Apr-18,, ,"This is quality, you can tell by the way it opens and closes and just by holding it."
5,Luca Piccolboni,24-Apr-18,, ,"The first umbrella I bought broke after the first use. However, the customer service replaced it right away and the new one seems to work fine. Amazing service and support from the customer service!"
5,Isaac C. Hawker,23-Apr-18,, ,"Easy to use, fantastic size, and professional-looking. It's all i could hope for in a umbrella."
5,Stephen Eimers,23-Apr-18,, ,There's a reason this umbrella is popular! Buy it!
4,Kindle Customer,23-Apr-18,, ,It's an umbrella and it woks.
3,J. Davis,23-Apr-18,, ,Works as designed just wish it was larger in diameter.
1,Kristy Garland,23-Apr-18,, ,Donâ€™t even think about it.
5,mpklupp,23-Apr-18,, ,"Umbrella came quickly and in perfect condition.  Opens and closes easily; fits in my backpack.No experience in a high-wind rainstorm yet, but this umbrella is sturdier than others I have."
5,Matthew S. Steele,23-Apr-18,, ,"My new Upper Echelon Products umbrella was received in a very timely manner. The product itself is well made and I had to use it the very day I received it, and the umbrella itself did a great job of keeping the freezing rain/rain off of body. I will be doing business with this company again. Shout out to Amazon, thanks!Matthew"
5,CSW,22-Apr-18,, ,"Love this umbrella! While most of my umbrellas survive before I lose them, I had a different brand off Amazon that died pretty quickly.  The quality of this umbrella is fantastic even under quite a bit of wind. I bought an additional two. Highly recommend and compact enough that I've brought it on a few trips travelling with me now."
5,Michael Fleming,22-Apr-18,, ,This umbrella lives up to the hype. Just big enough to keep me covered while still being portable enough to drop in the backpack. And itâ€™s been great in the wind. (This is my second one after I gave my first one to the jealous spouse who liked mine!)
5,diegoms97,22-Apr-18,, ,"I love it! It feels sturdy and seems like the best compact umbrella I have ever had!** Regardless, I will update this review after testing the umbrella in real world conditions."
5,Jesica Hernandez,22-Apr-18,, ,"It is an umbrella what more can you expect. Looks sturdy, feels nice. Other than that it hasnâ€™t rained so I canâ€™t comment on its main purpose."
5,starfox707,22-Apr-18,, ,The premium umbrella that will last. If you live in a rainy place and need a new umbrella then stop reading and just buy it. It is not a jumbo umbrella but a perfect one or two person one. It is amazingly built and works very well. Super easy to just shake most of the rain off of it when going indoors and will last for many more years.
5,Steve Nixon,21-Apr-18,, ,"This is a well built, sturdy umbrella, and the perfect portable size"
5,judy dill,21-Apr-18,, ,"got caught in a terrible wind storm with torrential rain and the umbrella held it's own, it was great"
5,leilani,21-Apr-18,, ,Great umbrella. Easy to put up and take down.
5,Topolino,21-Apr-18,, ,Very easy to use and as sturdy as any folding umbrella I've used. Nice to have the retract function..
5,AmazCustomer,21-Apr-18,, ,"I absolutely love this umbrella! Iâ€™ve purchased quite a few in the past, but this one is definitely the best."
3,R Samai,20-Apr-18,, ,How do I get a replacement for my umbrella I have it since October 2016. Very easy to use but have some issues with it
5,AmazCustomer,20-Apr-18,, ,Great product!.  This has been used several times now and works as described.  Customer service followup email was nice....good to see they are there if needed!
5,Oliver P. Godwin,19-Apr-18,, ,A very nice umbrella for the price. Feels sturdy and should hold up for a while. Would highly recommend.
5,Marcin J Marczak,19-Apr-18,, ,Worked like a charm and felt very sturdy during a Pacific Northwest rainfall.
5,Cheryl Bubar,19-Apr-18,, ,Well made umbrella.  Great customer service.
5,Kj Brennan,19-Apr-18,, ,solid product and everything I hoped for --- wow!  Easy up and down -- great fabric!  Let it rain...  It's raining MEN .... You know how it goes.
1,Derek Day,19-Apr-18,, ,Thing broke on the second rain commute. What a complete waste of money.
4,Shankar Raman,19-Apr-18,, ,Nice size
4,Randy L,18-Apr-18,, ,Our umbrella failed after only a few users (3 times maybe).  The button no longer ejects or close the umbrella.  The handle felt great and umbrella felt sturdy otherwise.  Looking to see how and if we can get warranty replacement.  It's less than two months ownership!Update:  The seller is quick and swift to offer replacement. Always appreciative when they stand behind their product.
5,JM Alexandria,18-Apr-18,, ,"Appears to be a well made umbrella.  Good size, easy to operate"
5,Gregory Ducote,18-Apr-18,, ,"Convenient,compact. Quality"
4,Shamshu Shahid Raja Mohamed,18-Apr-18,, ,"I ordered this product a few days ago and it arrived last night. Below is my first impression of the product:- It came in a nice and simple package, with a small paper describing the material of the umbrella and instructions on how to use it- It looks sturdy and durable- The button to open and close the umbrella operates well- Overall, it has a simple and nice look to it, while having the feeling of a sturdy and durable umbrella.I will update the review after getting to use the umbrella more"
5,NATHASHA S,17-Apr-18,, ,Good one
2,NotSoSaintly,17-Apr-18,, ,"I loved the fact that it opened and closed with a push of a button.  However, they used plastic 'arms' inside the umbrella that do not stand up to the force of the umbrella opening.  Two of them snapped in less than a year of use.  The umbrella is now trash."
5,Constance Iler,17-Apr-18,, ,"It looks great, was a good price and with the guarantee I can't go wrong. The opening and closing mechanism is working exactly as described. I love it."
5,Anne M. Anderson,17-Apr-18,, ,quality fast shipment
5,Firewood,17-Apr-18,, ,"Used while in Belize, keeps the rain off you and your binoculars. Rained every day"
3,Ismael Lopez,17-Apr-18,, ,"The umbrellas wore out to quickly. I live in a rainy place and after 2 or 3 months of use, the metal started rusting and eventually broke making the umbrella unusable. These are more for emergency use and not daily use."
1,Mary White,17-Apr-18,, ,"not the best umbrella. it may repel, but it doesn't cover much of the body. too small"
4,Miguel Lucas,17-Apr-18,, ,"Seems very sturdy and, is lightweight and fits well in my backpack. A little bit pricey, but recommended."
5,Baby boy,16-Apr-18,, ,"A great umbrella that goes down smooth and goes up smooth , I canâ€™t wait to use it ."
5,K. Swain,16-Apr-18,, ,Used it Sunday. Water came right off.
5,Javi,16-Apr-18,, ,"Love this umbrella! Dries quickly, very compact but opens fairly big. Only large enough for one person."
1,bbbbkkkk,16-Apr-18,, ,"Umbrella broke and itâ€™s only been 3 months. Only used it 4x, and I live in California where the rain and wind is minimal.. at its worst"
1,bookworm,16-Apr-18,, ,Lasted 6 months
4,Derek B,16-Apr-18,, ,"Strap broke after less than a month of use. 2 Stars because everything else seems to be very high quality, but without a strap this umbrella is unappealing to me now.UPDATE - THEY MADE IT RIGHT AND SENT ME A NEW UMBRELLA. CHANGED TO 4 STARS"
5,Lesley Rice,16-Apr-18,, ,"Great umbrella. Very easy to open and close, sturdy.  So good, so far!"
5,Pen Name,16-Apr-18,, ,Tested it today in this rainy weather in the city. highly recommended! also very sturdy against the winds.
1,james k,16-Apr-18,, ,Died after two uses. Would not collapse handle
3,Boyee Chung,16-Apr-18,, ,"I purchased this umbrella after my cheapo one from Target broke. Now don't get me wrong, it's a solid umbrella that automatically opens and closes, and is pretty sturdy. The reason this only gets 3 stars is because it does not stand up against Boston rain and wind, and totally flipped on my morning commute."
1,Paul J Sebastian,16-Apr-18,, ,Bought 2/24/18.  Already Broke on 04/16/18 after maybe a half dozen uses.  Add that to the fact that it is no longer returnable on amazon.  Be cautious.
5,Jeffrey Flotta,16-Apr-18,, ,"Small, lightweight, and sturdy, with a lifetime replacement guarantee.  Exactly what I was looking for.  Well worth the price if you live in a rainy area."
5,Nas,15-Apr-18,, ,Sturdy Strong and Resilient. The best you can get.
5,Devoted Reader,15-Apr-18,, ,"Really quite a remarkable product. Looks great, feels good, and works fine. All this with a lifetime guarantee . . . What more could you want?"
