comments,ratings
"Medium beige head.  Clear deep dark brown body with light carbonation.  Minty musty earthy aroma with spicy caramelly notes.  Sweetish earthy sugary soy sauce taste with spicy notes. Mid-bodied.  Mild, soft mouthfeel.  Dryish spicy earthy papery aftertaste with sugary fluffy notes.  It's OK.  &#40;0.5l bottle, Systembolaget, Charlottenberg.&#41;",12
"Medium beige head.  Deep amber body with carbonation.  Caramelly earthy buttery aroma with nutty notes.  Dryish caramelly nutty taste with spicy buttery notes.  Mid-to-light body.  Mild, soft mouthfeel.  Dryish spicy nutty malty aftertaste with soy sauce notes.  Nice, if a bit simple.  &#40;0.5l can, Systembolaget Charlottenberg.&#41;",12
"Medium white head.  Clear amber body with carbonation.  Strawy citrusy aroma with milky notes.  Dry citrusy strawy taste with milky grainy notes.  Mid-to-light body.  Mildish mouthfeel. Dryish grainy citrusy aftertaste with catty papery notes.  It's not bad at all.  &#40;0.33l bottle, Systembolaget Charlottenberg.&#41; ",10
"Medium beige head.  Clear deep dark ruby red body with light carbonation.  Spicy malty bubblegum aroma with alcohol and licorice notes.  Sweet-dryish malty licorice taste with spicy peppery notes.  Mid-bodied.  Hot mouthfeel.  Dryish bubble gum and dried fruit aftertaste with fluffy sugary spicy notes.  Kind of flat and empty, lacking in depth. &#40;0.33l bottle, wine monopoly, Vika, Oslo.&#41;",12
"Medium beige head.  Opaque black body.  Roasty resiny papery aroma with chalky grainy notes.  Dry sooty taste with faint fruity notes.  Mid-bodied.  Mild, chalky mouthfeel.  Dry roasty chocolatey aftertaste with mealy fruity resiny notes.  Kind of simple and straightforward, but no real off flavours.  &#40;0.33l bottle, wine monopoly, Vika, Oslo.&#41;",11
"Small white head.  Yellow body with light carbonation.  Light papery, sugary aroma.  Dry-sweet strawy herbal taste with papery notes.  Mid-to-light body.  Mild, soft mouthfeel.  Dryish herbal cardboard aftertaste with mealy notes.  It could be a lot worse, and without the papery/cardboardy flavours it would be quite nice.  A bit limp, too. &#40;0.33l bottle, Rimi Østre Strøm, Rælingen.&#41;",8
"Big offwhite head.  Clear amber body with carbonation.  Funky dried fruit and barnyard aroma with spicy orangey wooden notes. Dry-sweetish spicy peppery mealy taste with funky dried fruit notes.  Mid-bodied.  Mild, mealy mouthfeel.  Dry resiny funky herbal aftertaste with cardamom and eucalyptus notes.  Nice, interesting, and highly drinkable.  &#40;0.75l bottle, from Kihoskh, Copenhagen.&#41;",14
"Medium beige head.  Clear, deep dark red body with light carbonation.  Roasty earthy spicy aroma with raisins and chocolate notes.  Dryish earthy roasty taste with spicy notes. Mid-bodied.  Mild, soft mouthfeel.  Dry roasty spicy licorice aftertaste with soy sauce and chocolate notes.  Lingering harshly bitter spice finish lingers.  It's nice, but not great.  &#40;0.355l bottle, wine monopoly, Vika, Oslo.&#41;",13
"Medium offwhite head.  Hazy amber body with light carbonation. Catty mango aroma with faint dried durian notes.  Dry-sweet pineapple taste with salty mango notes.  Light body.  Mildish mouthfeel.  Dryish salty mango and resin aftertaste with catty oily notes. Long lingering resiny finish.  It's quite nice, and far less harsh than one would assume, given the low ABV and high alcohol. Really quite a feat to make this.  &#40;0.33l bottle, Meny Oslo City.&#41;",12
"Medium beige head. Opaque black body. Roasty charcoal smoke aroma with earthy caramelly notes. Dry-sweet licorice charcoal smoky taste with chalky burnt notes. Mid-bodied. Mild, mealy mouthfeel. Dryish smoky licorice and chocolate aftertaste with mealy sooty notes. Nice, harmonic, and drinkable. &#40;0.65l bottle shared by KnutAlbert.&#41;",14
"Huge head risese and threatens to overflow the glass.  Hazy yellow body with carbonation. Light floral coriander aroma with herbal spicy notes. Dry fruity coriander and spice taste with mealy notes. Mid-bodied. Mild, mealy mouthfeel. Dry-bitter mealy spicy coriander aftertaste. A bit mealy and bitter, but still nice. &#40;0.33l bottle shared by Ole_R.&#41;",12
"Big brown head.  Opaque black body goes deep hazy brown at edges. Earthy chocolatey aroma, very faint.  Dry-sweet earthy chocolatey taste with mealy roasty dusty notes.  Mid-bodied.  Mild, soft, fluffy mouthfeel.  Dry-sweet toffee and chocolate aftertaste with dusty rye crisp bread notes.  Really nice.  Well balanced, harmonic, and vivid.  &#40;0.33l bottle, from Das Meisterstück, Berlin.&#41;",14
"Medium offwhite head.  Clear amber body with strong carbonation. Caramelly earthy aroma with spicy sugary notes.  Dry-sweet earthy caramelly taste with spicy notes.  Mid-bodied.  Mild, soft mouthfeel.  Dry earthy rye crisp bread and caramel aftertaste with papery notes.  A bit old &#40;BBD August 2012&#41;, should have had it before.  &#40;0.33l bottle, from Absinth Depot, Berlin.&#41;",13
"Big white head.  Clear yellow body with strong carbonation. Faint mealy papery aroma.  Dry-sweetish earthy grassy taste with oily notes.  Mid-to-light body.  Sharpish mouthfeel.  Harshly dryish grassy oily aftertaste with papery alcoholic notes.  Not really very nice.  &#40;0.33l can, gift from the wife.&#41;",8
"Medium beige head.  Opaque black body goes deep dark hazy brown at edge.  Herbal dried fruit aroma with meaty cloves notes. Dry-sweet intensely spicy cardamom and cinnamon taste with chocolatey laquer and tropical wood notes.  Full-bodied. Soft, yet quite hot and spicy mouthfeel.  Dry-sweetish spicy cardamom and lacquer aftertaste with alcoholic cardamom, cloves and lavender notes.  Nice.  Highly drinkable, harmonic, and interesting, even if it is a bit high in alcohol.  &#40;0.375l bottle, wine monopoly, Vika, Oslo.&#41;",14
"Medium offwhite head.  Hazy reddish brown body with light carbonation.  Deep spicy perfumy sherry aroma with herbal linoleum and honey notes.  Dryish cardamom and honey taste with perfumy spicy soy sauce notes.  Mid-to-full body.  Mild, soft, smooth mouthfeel.  Dry honey and soy sauce aftertaste with spicy cardamom and cloves notes, with a background of linoleum and chocolate.  Really nice.  Well balanced and harmonic.  &#40;0.65l bottle, from ... I forget where. 2009 vintage.&#41;",14
"Big offwhite head.  Clear coppery body with light carbonation. Light fruity perfumy aroma.  Dry-sweetish papery dried fruit taste with mealy notes.  Mid-to-light body.  Mild, mealy mouthfeel.  Dryish caramelly perfumy strawy aftertaste leaving lingering mealy traces.  It's not bad, but tastes a little old, and is certainly not great. &#40;0.33l bottle, Meny Oslo City.&#41;",10
"Medium coarseish white.  Clear yellow body with light carbonation.  Papery sugary aroma with fruity mealy notes. Dry-sweetish mealy vaguely grainy taste.  Empty, fluffy mouthfeel.  Mid-to-light body.  Dryish papery mealy aftertaste. Not very pleasant, but not really bad, either. &#40;0.33l can, gift from the wife.&#41;",9
"Medium offwhite head.  Hazy amber body with light carbonation. Strawy earthy gooseberry aroma with spice pineapple notes. Dry-sweetish spicy wooden cumin taste with strawberry alcohol notes. Fullish body. Slightly hot mouthfeel.  Dryish pineapple and alcohol aftertaste with resiny strawy strawberry notes. Nice, drinkable, interesting. &#40;0.33l bottle, wine monopoly, Vika, Oslo.&#41;",13
"Medium white head.  Clear yellow body with light carbonation. Light lemony, strawy aroma with soapy notes.  Dry-sweet strawy lemon zest taste with mealy grainy notes.  Mid-to-light body. Mild, soft mouthfeel.  Dryish strawy lemon zest aftertaste with mealy spicy metallic notes.  Highly drinkable.  Great session beer.  &#40;0.5l bottle, Meny Oslo City.&#41;",13
"Medium beige head.  Clear amber body with carbonation.  Roasty toffee aroma with nutty caramelly fruity notes.  Dry-sweet nutty earthy caramelly taste with roasty dried fruit notes. Mid-bodied.  Mild, soft mouthfeel.  Dryish caramelized sugar and toffee aftertaste with earthy resiny wooden dried fruit and spice notes.  The finish lingers for a long time, with traces of rye crisp bread.  Complex, interesting, highly drinkable. A very good beer.  &#40;0.5l bottle, Meny Oslo City.&#41;",14
"Medium brown head.  Hazy opaque black body goes deep dark brown at edge.  Syrupy whisky and soy sauce aroma with caramel and toffee notes.  Dry-sweet alcoholic smoky whisky taste with sugary caramel notes.  Full body.  Hot mouthfeel.  Dryish smoky burnt whisky aftertaste with chocolate, caramel and earth notes.  Quite nice, but very strong and sharp.  &#40;0.33l bottle, wine monopoly, Vika, Oslo.&#41;",13
"Medium beige head.  Clear deep dark red body with light carbonation.  Sugary earthy toffee aroma with dried fruit notes. Sweetish papery earthy taste.  Mid-bodied.  Mild, smooth mouthfeel.  Dry-sweetish sugary earthy aftertaste with papery buttery notes. Well.  Not much point to this one.  Barely any taste at all.  &#40;0.25l bottle, wine monopoly.&#41;",10
"Medium white head.  Hazy golden body with little particles and light carbonation.  Lime zest and resin aroma with pineapple notes.  Dry wooden lime taste with resiny notes.  Mid-bodied. Mild, mealy mouthfeel.  Dry-bitter dusty lime aftertaste with resiny notes.  It's nice, but a bit sharp and dry.  &#40;0.5l bottle, Meny Oslo City.&#41;",12
"Medium offwhite head.  Clear yellow body with carbonation.  Light mealy citric aroma is very faint.  Dry orange zest and gooseberry taste with spicy wooden notes.  Mid-bodied.  Mild, soft mouthfeel.  Dry, slightly salty, resiny gooseberry aftertaste with papery orangey notes.  Nice, full of flavour, and highly drinkable. &#40;0.5l bottle, Meny Oslo City.&#41;",13
"Big beige lasting head.  Clear brownish amber body with light carbonation.  Caramelly tropical fruit aroma with soy sauce and resin notes.  Dry-sweet pineapple mango and resin taste with mealy minty notes.  Mid-bodied.  Mild, soft, smooth, mealy mouthfeel.  Dry minty fluffy mango and pineapple aftertaste with orangey and vaguely durian-like notes.  Nice and interesting. It's a real hop bomb, but in a harmonic, balanced way.  &#40;0.75l bottle, Systembolaget Nordstan, Gothenburg.&#41;",13
"Medium beige head.  Clear deep dark reddish brown body with carbonation.  Earthy spicy nutty aroma with banana-like fruit notes.  Dry earthy nutty banana-like taste with faint background acidity.  Mid-bodied.  Mild, soft mouthfeel.  Dry vinegary nutty earthy aftertaste with wild berry sooty notes.  L.ingering finish of rye crisp bread.  It's not bad, but it's not right, either. Something's gone wrong with this bottle.  &#40;0.65l bottle, wine monopoly, Vika, Oslo. Label looked like the one in the photo, including the &quot;English style&quot; bit, but ABV was given as 5%.&#41;",12
"Small beige head. Opaque black body. Chocolatey toasted grain aroma with earthy notes. Dry-acidic roasty chocolate taste with earthy blackberry notes. Mid-bodied. Mild mouthfeel. Dry-acidic toasted grain, blackberry and earth aftertaste with sooty notes. Too acidic, otherwise great. &#40;0.5l bottle, shared by KnutAlbert.&#41;",11
"Medium creamy white head. Clear pale yellow body with strong carbonation. Papery caramelly aroma with perfumy strawy notes. Dry-sweet honey and paper taste with oily notes. Mid-to-light body. Fizzy mouthfeel. Dryish earthy cardboard aftertaste with grassy toffee notes. Far too sweetish, slack, and papery. &#40;0.33l bottle shared by KnutAlbert.&#41;",8
"Small white head. Clear yellow body. Papery flour aroma. Sweet alcoholic papery taste with perfumy notes. Mid-bodied. Mild, mealy mouthfeel. Dryish dirty earthy grassy aftertaste with salty notes. Awful. Undrinkable. &#40;0.33l plastic bottle shared by KnutAlbert.&#41;",6
"Medium white head. Clear yellow body with carbonation. Light strawy toffee aroma, very weak. Dryish papery fruity taste with strawy notes. Light body. Fizzy mouthfeel. Dry dusty papery aftertaste with strawy earthy notes. It's not bad, but low on flavour. &#40;0.33l bottle from some supermarket in Hong Kong.&#41;",8
"Medium offwhite lasting head.  Clear amber body with carbonation, relatively large bubbles.  Earthy caramelly nutty aroma with metallic toffee notes.  Dry-sweet toffee and caramel taste with nutty earthy notes.  Mid-to-light body.  Mild mouthfeel.  Dryish vanilla and caramel aftertaste with earthy toffee notes.  Nice, drinkable, with character.  &#40;0.5l bottle, Meny Strømmen Storsenter.&#41;",13
"Medium offwhite head.  Clear amber body with carbonation.  Earthy caramelly strawy aroma, quite light, with toffee and paper notes. Dryish papery caramelly taste with earthy notes.  Mid-to-light body.  Mild mouthfeel.  Dry spicy dried fruit aftertaste with papery caramelly earthy notes.  Not bad, but a bit austere.  &#40;0.5l bottle, Meny Oslo City.&#41;",12
"Big offwhite head.  Clear amber body with light carbonation. Resiny orangey pineapple aroma with salty mango notes.  Dry-sweet pineapple and mango taste with herbal spicy notes.  Fullish body. Mild, soft mouthfeel.  Dry salty pineapple and oranges aftertaste with spicy notes.  Nice, smooth, and highly drinkable.  &#40;0.33l bottle, wine monopoly web order.&#41;",14
"Huge offwhite coarseish lasting head.  Yellow body with strong carbonation made hazy by lots of little particles.  Fruity spicy aroma with metallic notes.  Dry-sweet earthy fruity taste.  Very, very weak flavour, strange.  Mid-bodied.  Mild, soft mouthfeel. Dry mealy fruity aftertaste with earthy alcoholic herbal notes. It's OK, but very low on flavour. Strange.  &#40;0.33l bottle, wine monopoly web order.&#41;",12
"Medium brown head.  Opaque black body.  Resiny toffee and milk chocolate aroma with earthy mouldy notes.  Dry-sweet alcoholic honey resiny earthy taste with burnt milk chocolate, sherry and whisky notes.  Full-bodied.  Sharpish, powdery mouthfeel with some heat.  Dry earthy cocoa and honey aftertaste with alcoholic resiny notes.  Interesting, powerful, and fairly harmonic, but ultimately a bit too powerful. &#40;0.33l bottle, wine monopoly web order.&#41;",12
"Medium beige head.  Deep dark red body with floaties.  Fruity spicy bubblegum aroma with oily soy sauce notes.  Dry-sweet spicy fruity bubblegum taste.  Full-bodied.  Mild, with some heat. Dryish spicy dried fruit and earth aftertaste with roasty soy sauce notes.  Nice, but a bit closed and heavy, and flavours don't harmonize completely.  &#40;0.65l bottle, from Kihoskh, Copenhagen. Batch 22, from summer of 2011, which might explain some of the deviation from perfection.&#41;",13
"Huge white lasting head.  Muddy opaque deep yellow body.  Strong orangey tropical fruit and coriander aroma with wheaty notes. Dry-sweet resiny orangey taste with fruit and coriander notes. Mid-bodied.  Mild, mealy mouthfeel.  Dry fruity strawberry chewing gum aftertaste with wooden honey notes.  Lingering bitter dandelion flavour.  Interesting and good, but perhaps a bit muddy and dense; could use a little more drinkability.  With a little bit more tweaking this could become a truly great session beer.  &#40;0.5l bottle, gift from Rune, to whom many thanks.&#41;",13
"Small beige head.  Hazy deep red body with light carbonation. Intensely fruity cough drops aroma with lime and licorice notes. Bitter-sweet fruity peppery lime taste with polypodium vulgare &#40;sisselrot&#41; notes.  Full-bodied.  Mild, soft mouthfeel, slightly oily, with some alcohol heat.  Bitterish earthy lime and fruit aftertaste with sisselrot notes again.  Like RH1 it tastes like a vermouth, but in this case a slightly unclean, earthy one. Very complex, full of aromas that are hard to identify.  It's a really good and interesting beer, but sadly doesn't rise even to the ankles of RH1. &#40;0.25l bottle, wine monopoly web order.&#41;",14
"Small beige head.  Clear deep dark red body with lazy carbonation.  Earthy fruity birch leaves aroma with wooden caramelly notes.  Deeply unusual aroma.  Sweet-dryish earthy syrupy birch leaves taste with rye crisp bread notes.  Fullish body.  Dusty, slightly sharp mouthfeel, with light astringence. Dry roasty earthy rye aftertaste with spicy birch leaf and syrup notes.  Really, really unusual, but good too.  &#40;0.5l bottle, wine monopoly web order.&#41;",13
"Big white head.  Hazy yellow body with light carbonation.  Spicy wheaty oily aroma with yoghurty dried fruit notes.  Dryish, faintly acidic, wheaty mealy orangey taste with earthy notes. Mid-bodied.  Mild, mealy mouthfeel.  Dryish earthy, slightly dirty, wheaty mealy aftertaste with fruity notes.  Strange. Partly very good, but marred by that dirty earthiness. &#40;0.33l bottle, wine monopoly web order.&#41;",12
"Medium beige head. Hazy reddish amber body with strong carbonation. Resiny gooseberry catnip aroma with blackberry and oranges notes. Dry-sweetish orangey resiny taste with gooseberry and mango notes. Mid-bodied. Sharpish mouthfeel. Dryish papery blackberry aftertaste with orangey resiny dusty notes. Finish actually has a flavour similar to the aftertaste of durian flesh. A bit harsh, but still nice. Complex aroma. &#40;0.4l draft at brewpub.&#41;",13
"Small white head. Hazy yellow body. Mealy orangey wood aroma with papery toffee notes. Dry-sweet dusty orangey wood taste with papery strawy notes. Mid-bodied. Mild, mealy mouthfeel. Dry resiny orangey gooseberry aftertaste with kiwi and tropical fruit notes. Ending in spicy wooden finish. &#40;0.4l draft at brewpub.&#41;",14
"Medium offwhite head. Clear deep reddish amber body. Wooden resiny fruity aroma with spicy notes. Dry dusty resiny citric taste with spicy notes. Mid-bodied. Sharpish mouthfeel. Dryish resiny wooden aftertaste with orangey spicy notes. Very resiny, but fresh and clean. Nice. &#40;0.4l draft at brewpub. Name is wrong, though: Trotskij is the Norwegian transliteration of the name. In English it should be Trotskiy or Trotsky.&#41;",13
"Medium offwhite head. Hazy amber body. Light citric banana aroma with fruity notes. Dry-sweet wooden peachy taste with citric spicy notes. Mid-bodied. Mild, soft mouthfeel. Dryish perfumy orangey wooden aftertaste with spicy notes. Nice, drinkable, a little sharp. &#40;0.4l draft at Crowbar, Oslo.&#41;",13
"Small white head. Clear deep yellow body with light carbonation. Light fruity spicy herbal aroma with gooseberry and cedar wood notes. Dry-sweet lemongrass and cedar wood taste with gooseberry notes. Mid-bodied. Mild, mealy mouthfeel, slightly astringent at the end. Dryish spicy cedar wood aftertaste with dried fruit notes. Nice, fresh, clean, balanced and highly drinkable. Good session beer. &#40;0.4l draft at brewpub.&#41;",14
"Medium beige head. Clear dark red body with light carbonation. Earthy roasty fruity aroma with gooseberry notes. Dry-sweet roasty earthy dusty taste with orangey notes. Mid-bodied. Mild, oily mouthfeel. Dry orangey resiny roasty aftertaste with earthy metallic mineraly notes. Nice, drinkable, not terribly remarkable. &#40;0.5l bottle shared with gr0ve at Crowbar, Oslo.&#41;",13
"Biggish dark brown head.  Opaque black body goes deep dark red at edges.  Roasty raisiny chocolate aroma with spicy lacquer notes. Dry-sweet roasty raisiny lacquer taste with herbal spicy notes. Mid-to-full body.  Mild, soft mouthfeel.  Dryish spicy lacquer chocolate aftertaste with dusty caramel and raisins notes.  Nice, highly drinkable, balanced and harmonic.  &#40;0.65l bottle, from Kihoskh, Copenhagen.&#41;",14
"Biggish white head.  Clear yellow body with strong carbonation. Orangey coriander aroma with mealy lavender notes.  Dry papery lavender taste with orangey mealy notes.  Mid-to-thin body. Faintly sharp mealy mouthfeel.  Dryish lavender and coriander aftertaste with mealy orangey herbal notes.  Not bad, but not great, either.  Slightly artificial-seeming from all the lavender. &#40;0.65l bottle, from Kihoskh, Copenhagen.&#41;",13
"Smallish brown head.  Opaque black body.  Earthy funky chocolatey aroma with spicy wooden roasted sugar notes.  Sweet-acidic earthy funky chocolatey taste with vinegary wooden notes.  Mid-bodied. Mild, soft mouthfeel.  Dry-acidic spicy wooden vinegary aftertaste with chocolatey earthy funky sooty notes.  I don't think it's meant to be this way, but the effect is not bad, kind of like a stout saison.  &#40;0.64l bottle, from Kihoskh, Copenhagen.&#41;",12
"Big offwhite lasting head.  Hazy amber body with powerful carbonation.  Perfumy strongly fruity aroma with spicy wooden notes.  Dry-sweet perfumy herbal fruity taste with spicy wooden notes.  Mid-bodied.  Mild, soft mouthfeel.  Dryish spicy wooden perfumy aftertaste with fruity citric notes.  Weird.  It has all the bad things about an overhopped, over-alcoholized double IPA, but with half the alcohol.  &#40;0.33l bottle, from Kihoskh, Copenhagen.&#41;",12
"Huge beige head lasts forever, blocking access to the actual beer.  Clear brown body with carbonation.  Roasty dusty lacquer aroma with spicy caramel notes.  Dry, and faintly sweet, wooden lacquer taste with spicy earthy resiny notes.  Mid-to-light body. Mildish, kind of flat mouthfeel.  Dry earthy resiny spicy aftertaste with lacquer and pine needle notes.  Nice, interesting, full of character.  &#40;0.65l bottle, from Kihoskh, Copenhagen. Label said 7.0%.&#41;",14
"Medium beige head.  Hazy deep brown body with carbonation and visible particles.  Funky earthy roasty aroma with licorice and spice notes.  Dry-acidic earthy wooden taste with vomit notes. Thin-bodied.  Slightly sharp mouthfeel from the acid, with some heat.  Sour, roasty earthy honeyish aftertaste lingers for a long time.  This must be infected, because they can't possibly have meant for it to taste like this. Awful. &#40;0.75l bottle, from Kihoskh, Copenhagen.&#41;",7
"Medium deep offwhite head.  Clear amber body with carbonation. Strong tropical fruit and pineapple aroma with resiny sugary notes.  Sweet-dryish pineapple and tropical fruit taste with resiny mango notes.  Full-bodied.  Sharpish, slightly hot mouthfeel.  Dry-sweet salty mango and pineapple aftertaste with resiny citric notes.  Interesting, but too over the top to really be very enjoyable.  &#40;0.33l bottle, from wine monopoly, Vika, Oslo.&#41;",12
"Medium beige head.  Hazy opaque deep amber body with carbonation. Bready caramelly aroma with raisiny earthy notes.  Dry-sweet earthy chocolatey taste with fruity caramelly resiny notes. Mid-bodied.  Dryish wooden caramelly resiny aftertaste with dusty lacquer and water notes.  Nice, but a seriously odd mix of flavours that don't really gel.  &#40;0.33l bottle, from Kihoskh, Copenhagen.&#41;",12
"Huge offwhite head shrinks with a loud, fizzing sound.  Hazy yellow body with strong carbonation.  Floral wheaty coriander aroma with mealy notes.  Dryish lemony wheaty taste with herbal earthy coriander notes.  Mid-bodied.  Mild, mealy mouthfeel. Dryish earthy coriander aftertaste with orangey mealy notes.  Not bad, but not terribly remarkable, either.  &#40;0.5l bottle, from Kihoskh, Copenhagen.&#41;",12
"Big offwhite head.  Clear yellow body with light carbonation. Funky dried fruit and sugar aroma with citric honey notes. Dry-sweet resiny funky sugary taste with dried fruit and honey notes.  Mid-bodied.  Mild, mealy mouthfeel.  Dryish wooden fruity aftertaste with funky earthy banana and resin notes.  Lovely, drinkable, and interesting.  Very similar to Westmalle Trippel, but weaker.  &#40;0.75l bottle, from Kihoskh, Copenhagen.&#41;",14
"Medium brown head.  Clear deep dark red body with carbonation. Strong malty caramelly raisiny aroma with gooseberry and wine grape notes.  Dry-sweet roasty burned caramelized sugar taste with spicy wooden gooseberry notes.  Mid-to-full body.  Mild, slightly hot mouthfeel.  Aftertaste is very similar to main taste, and lasts for a long time, with resiny notes.  Very, very nice.  Full of delicious flavour, complex, harmonic and unusual. &#40;0.5l bottle, from Kihoskh, Copenhagen.&#41;",15
"Medium brown head.  Opaque black body.  Earthy roasty chocolatey aroma with syrupy notes.  Dry-sweet earthy mealy roasty taste with fruity caramelized sugar notes.  Mid-bodied.  Mild, mealy mouthfeel, kind of flat.  Dryish mealy sooty caramelized sugar aftertaste with earthy mealy fruity notes.  It's really quite nice in a surprising sort of way.  An unusual beer.  &#40;0.5l bottle, from Kihoskh, Copenhagen.&#41;",13
"Medium white head.  Yellow body with light carbonation and lots of floaties.  Light oily grassy aroma with malty and generic fruit notes.  Dry-sweet oily malty toffee taste with fruity notes.  Mid-bodied.  Mild, soft mouthfeel.  Dryish mealy grassy aftertaste with musty spicy toffee notes. It's not bad, but not very interesting, either.  &#40;0.5l bottle, from Kihoskh, Copenhagen.&#41;",11
"Small offwhite head. Hazy amber body. Light fruity toffee aroma with spicy peachy notes. Dry-sweet spicy citric gooseberry taste with peachy notes. Mid-to-full body. Mild, mealy mouthfeel. Dryish spicy orangey resiny aftertaste with peachy mealy notes. &#40;0.2l draft at Crowbar, Oslo.&#41;",15
"Small white head. Hazy pale yellow body. Wheaty orangey coriander aroma with mealy notes. Dry-sweet mealy orangey papery taste with grainy dusty notes. Mid-bodied. Mild, mealy mouthfeel. Dry minty orangey toffee aftertaste with mealy spicy notes. Nice, clean, and highly drinkable. &#40;0.2l draft at brewpub.&#41;",14
"Small offwhite head creamy head. Hazy opaque amber body. Vinegary wooden farmhouse aroma with yoghurty notes. Sweet-acidic vinegary wooden apple taste with metallic notes. Mid-bodied. Sharpish mouthfeel. Sharply acidic mealy wooden vinegar aftertaste with apple and metal notes. A bit sharp and low on flavour besides the lambic. &#40;0.2l draft at Schouskjelleren, Oslo.&#41;",12
"Small offwhite head. Hazy yellow body with light carbonation. Resiny gooseberry aroma with spicy orangey notes. Dry-sweet resiny wine grape taste with pine needle notes. Mid-bodied. Sharpish mouthfeel. Dryish tropical fruit and gooseberry aftertaste with spicy floral notes. Papery bitter flavour lingers. Nice, drinkable, fresh. &#40;0.2l draft at brewpub.&#41;",13
"Medium beige head.  Slightly hazy orangey red body with light carbonation.  Oily caramelly peppery aroma with marzipan fruity notes.  Dry-sweet, slightly acidic, caramelly yoghurty taste with vague fruity notes.  Mid-bodied.  Mild, mealy mouthfeel.  Dryish mealy wheaty fruity aftertaste with watery caramelly notes.  Not bad, but a bit boring.  &#40;0.5l bottle, from Kihoskh, Copenhagen.&#41;",12
