comments,ratings
"This is my 3rd one of this model (long story, but the others didn't fail).  I have had the same positive experience with each of them.  Really not sure why the negative reviews.1.  It's a higher wattage than most of the others.  That made a huge difference for me.  The noise wasn't as high pitched, didn't sound like it was working as hard, curled better.  I also tried the Revlon 1200 watt sister to this product.  This one is definitely more powerful.  I never heard the high-pitch noises others complained about--with any of the 3.2.  Large brush.  I have only used the large brush.  I have long, medium thickness, fine hair.  The bristles hold my hair nicely while I curl and dry it.  My hair does NOT curl around things easily.  It even flips out of some curling irons.  The bristles kept the hair against the brush nicely.  The other thing to note is that the barrel is one continuous piece of metal.  Some barrels (like the smaller one in this set) have sections that come together to form angled curves.  This leaves my hair kind of kinky and shows bends where the hair was against seams.  The big barrel/brush doesn't do this since it is all one piece.  I cannot speak to the smaller brush.3.  Smaller brush.  While I have not used this brush, it does have a unique feature that may appeal to some:  If you twist it, the size of the barrel changes from small to a bit larger.  In essence, you can adjust the size of the barrel to various sizes.  Kind of a neat touch.4.  Dryer attachment.  Haven't used.5.  Settings - nice assortment for an inexpensive dryer.  High (hot), low (hot), cool (a high setting)Two cautions:-  If you have long hair, be cautious not to let the vents at the base suck your hair in.  It causes an awful burning-hair smell and made one of mine less powerful (#1 back to the store)-  Don't drop a brush.  The brushes secure onto the body with a notch.  I dropped one on our tile floor and it broke the notch.  No way to use the brush if you cannot attach it to the base.  (#2 down the drain)If you aren't sure about it, they sell it at Site-to-Store function online at Walmart.  Super easy to return if it isn't what you like.",4
"The bottle says that you can use Motions Marula Therapy Hair and Scalp Oil and then style your hair as normal. I expect that that would only work for a select few people. This oil leaves your hair with such a wet, oily look and feel that most people will want/need to wash their hair after using this product. It's like putting baby oil on your hair.Personally, I didn't care for the aroma of the marula oil.Ideally, I'd say that this product is best used prior to washing your hair, especially if you're having problems with a dry scalp. It definitely moisturizes your hair and provides extra shine.I will say that my hair did look great after using the product. It had a luxuriant, healthy look and feel.",3
"We have always used Banana Boat sunscreens.  Protect and Hydrate Sunscreen Lotion does not disappoint.  It does a great job of protecting the skin from a burn, especially at the pool.  The scent is subtle and it goes on nicely.  It does not feel sticky and does not irritate the skin.  I would recommend if you have a problem with dry skin and want a daily sunscreen.  I do recommend a sunscreen stick for the face and not this product as it does run into the eyes and sting, but I find that with most lotion based sunscreens.  A+",5
"I received this product for consideration through Tomoson and I like the idea of using a natural exfoliant rather than something more harsh such as a face scrub. My face feels smooth after using it, but I have yet to notice any dramatic results or anything. I will say that I also feel like I have to use less facial cleanser when I use it with this facial sponge so that is nice and seems more economical as well. Overall pleased.",4
i love this cover stick the price is amazing and it helps cover up my dark circles and you can use it as an eyeshadow or you can use it as a blush.,5
"Although I did receive this product for free, I believe that it is worth every red cent because it really does work!",5
I got this for a friend of mine in france I hope she likes it.  Im sure she will.  I love opi and its a real pretty color.,5
I loooveeee this body wash!! I had not used herbal essences since the 90s and I forgot how fabulous it smells!! This has a pretty light scent that is both sweet and light rose :) it lathers great and a little goes a long way! And at a steal of a price! The scent is lasting after use.. Better than my more expensive body washes! Highly reccommend and I will be purchasing more!! :),5
"This is an awesome product and much better than the expensive hot oil treatments you buy.  You will love it! It is not runny and it will do exactly what it says it will.  It will condition your scalp, strengthen your hair and your hair will be shiny and healthy.",5
"What a god-send this is. I have highlighted my hair for 12 years and always used salon products, hair professionally done, never used junk anything because I always said if you pay to go salon why go cheap on products and tools to basically wipe out your $100 dye job. Well about a year ago I went all dark brown, from blonde, hated it and went back to blonde in stages shortly after. My hair was never the same. Very dry and brittle and had to cut my hair often to keep the yuck off. My hair stylist and I tried everything and nothing was working. Ever since I started using this it's like my hair is softer , silkier and not breaking. Looks like my normal healthy hair again. I used every other wash for a week in replace of conditioner. It never weighs me down nor feels greasy or thick. Love love love this. Worth the money a little goes a long way.",5
"Okay, I'm a Wen Girl...  This product is pretty darn close!  And it is less expensive.  The fragrance isn't as enticing as the Wen, but it is pleasant.  The manageability of your hair isn't as good, I have fly-aways with this.  But it cleans, conditions and softens just as well as the Wen.  And it costs a third of what Wen does!  Yes, I will buy this again and again, but I'll keep a jar of the Wen for weekly luxury!  :)",4
"I've always thought it was kind of strange when people complained about certain products not having instructions on them. I once reviewed a salad spinner, and several of the other reviewers complained about no instructions in the box and not being able to get the salad spinner to work. I thought to myself ""What's next? Do we need instructions to use mixing bowls and water pitchers as well?""Even with the shampoo and conditioner from this product line, I didn't understand the complaints of no instructions. The use of shampoo and conditioner is pretty much standard fare; if they don't have instructions assume a nickel sized amount and use daily or as needed. With this product however, instructions would've been nice. Something simple, indicating the amount of product to use and how often to use the product; I don't think that would be too much to ask.As for the product itself, I personally have not had much luck in finding the exact amount that I need. If I use too little, I don't notice any difference in my hair. If I use too much, my hair does have a shine, but it's not a ""clean"" shine, it looks like a dirty, oily hair shine. Overall, I don't think I'll finish the tube, and I certainly won't purchase another.",3
"Here is my thorough review of this product.  This is coming from a woman who has sensitive, combination, multiple-ethnicity skin, who lives in varying climates.  My skin demands much of my attention, so I try tons of products to see what I'm allergic to and not.  My skin is also dry yet oily, endures dry, cold Colorado weather and hot, humid Georgia climates.  I have the fragile, pale delicacy of Japanese skin, with the large pores and wrinkle prone American side thrown in.  Now let's get to this product.Neutrogena Night Serum claims to fight wrinkles by helping to moisturize and infusing your skin with retinol.  Now I'm still a young woman, so I bought this mostly to prevent future wrinkles, fight the fine lines I currently have from all the sun and winter winds I deal with daily, to help balance my combination skin, and to even out my skin tone since every flaw shows up on my light complexion.PROS:- decent sized bottle for the price (use nightly for up to 2 months)- easy to use pump (a single pump is enough for one night's use)- almost no scent- goes on smooth and even- doesn't cause acne (as long as you blend evenly)- perfectly safe for my skin (which is allergic to pretty much everything)- keeps my face moisturized all night- mixes well with serums without reacting (such as 100% hyalauric acid or vitamin c)- the retinol is a nice addition to your nightly moisturizer- safe to use close to your eyes/on your eyelids without causing a reactionCONS:- bottle warns you will feel a warm, tingling sensation (yes, yes you will, because it feels like a 30 second sunburn that slowly ebbs and turns your skin flush red)- haven't seen permanent differences in my fine wrinkles over time, but in the mornings my face is brighter, clearer, and more plump than when I go without- leaves my skin oily the next morning until I wash it, so I highly recommend using it at night only and never as a daytime serum under makeup- is a little intense in humid weather, and will cause acne if you don't blend thoroughly- is a little too dry in windy and cold weather, and needs an additional face cream on top to prevent drying over the course of the night- not entirely a con, but the serum has pearlescent sparkles (it won't fall into your eyes or irritate your contact lens, but it will make your black towels/robe/pajamas a little sparkly over time)OVERALL:I'd buy it again.  I don't think it's very useful to use alone, but I like using it as part of my 5-Step Japanese Skincare Routine (foam cleanser, toner, serum, eye cream, face cream or lotion).  I only use it at night as instructed, simply because it does make my face red and tingly and would make me look sunburned during the daytime.  This tingling isn't the most pleasant feeling, but the bottle claims it means this is working.  I don't know to trust that, or assume it's a coverup for some flaw in the recipe.  But I have yet to see a downside to using this as a longterm preventative for fine wrinkles.  It's suitable for people of different ethnicities, with sensitive skin, in different climates.",4
"I am naturally fair skinned with auburn hair. The sun is traditionally my enemy. So before I go somewhere warm I try to develop a base tan to prevent 3rd degree beach burns. I love Paint in Black. For the price you can't beat the results. I have developed a nice, subtle base tan with no burning. The lotion moisturizes well and smells good. When I leave the tanner I don't seem to have that tanner smell that so many lotions leave in their wake. Overall, I think this is a fantastic tanning lotion.",4
Nice little due here.  Thicken the lashes and eye cream and you can't go wrong with OLAY.  I absolutely love it!,5
"When I first got this cap, I really liked it because it was so cute and functional.  Now I am disappointed.  The design has flaked off, for the most part, so it looks tacky.  It still does the job and keeps my hair nice and dry, but I am disappointed.",3
Made my hair feel sticky and gross. I don't know what's wrong with this thing. Would never buy or use again.,1
"This product barely made a difference for my faded hair. I followed the instructions, and first of all, after applying it, my hair felt very dry and brittle. I had to add special conditioning oils, and even so, my hair looked pretty damaged. (Yes, it was a little fried to start with, but it was worse after this treatment, even considering I used &#34;Fekkai Prx Oil&#34; (found here: http://www.amazon.com/gp/product/B00EYZY5VC).The color difference was so slight, I didn't notice it at first. Too subtle. My hair still looks pretty faded, so I guess I'll just have to dye it again. This product isn't worth it, and I would not recommend that anyone buy it. One good thing is the scent--very nice and clean.",3
What a wonderful shampoo and fragrance. Both my wife and I have fully enjoyed this product and how it leaves our hair so soft and silky. It has a rich lather with such a small amount of the shampoo.We will definitely be buying more of this in the future.,5
My husband usually uses Nivea for men maximum hydration lotion.  He really likes the silky feeling it gives his skin.  So Vaseline had a big hurdle to clear if they wanted to make an impression.  The final verdict?  The Vaseline men's skin care lotion is pretty good.  Good enough that he likes them both for different reasons.  He prefers the way Nivea feels going on and the way his skin feels for the first few hours after its application.  But he prefers the way his skin feels five plus hours later with the Vaseline lotion.  He has no preference with the scents.  His solution is to alternate between the two.,5
"I just ordered this shampoo from Amazon.com, but I will not be accepting the package. Beware!!! It states that shipping will be five dollars and some change but they're charging twenty dollars instead. I will not be ordering from Target again.",1
"This product is a bit runny, which means it is easy to smooth through hair.  Unfortunately, it also means that it doesn't have enough weight to keep hair from frizzing.  In the high humidity area in which I live, I noticed small, flyaway curls almost immediately after application to damp hair.  Styling didn't help.  This did work as a detangler on damp hair with no ill effects.  It didn't work wonders in any sense, and I don't see it becoming a regular part of my hair care routine.  Also, it smells like coconut suntan lotion, so if you don't care for that smell this is absolutely NOT for you.",3
"Being of Irish descent, I cannot really get tan. I try sometimes, but that usually fails. I thought I'd give this a try to see what would happen.This product is easy to use. It doesn't get on my sheets and I took care to make sure it didn't get on my clothes. I can also safely say it didn't streak, but that's also because it didn't really work for me.Other reviewers have said that this has worked for them. The fact that it didn't work for me shouldn't condemn the product entirely. But I didn't get a visible glow with it and that's important to divulge.",2
"Initially I didn't care for the medicinal smell, but you get used to it and the smell dies down a while after use. My cuticles look and feel much better.",4
This is what I have been looking for!  My hair is glossy and looks so much better.  I brush now every night just like in the old days.  Wonderful brush -- love it!,5
Love this! I love the smell and it makes my hair SOOOO soft. It has definitely helped with making my hair less dry and stringy.,4
but they fall apart and you have to go through too many to consider them functional.  I wouldn't recommend them.,2
Warmth puts a natural glow on your face. I have tried other mineral make up before & nothing compares to this! I love it!,5
"I love this scent. I first received it as a gift, and just ordered some more of it. I do use it as a body spray and have just recently began using it as a hair perfume. It is hard to find anything that smells this good for your hair! And, it is just wonderful. Highly recommend this scent and will continue using it every day.",5
"The one thing I couldn't live without in my beauty arsenal is this dry shampoo. I wash my hair no more than twice a week and haven't ever had trouble with greasy, oiliy hair. I have very straight, limp hair, but live in Texas and love that big Dallas hair. As a working girl, I found myself washing only my bangs, because I didn't want to loose volume with washing, but still wanted to look polished. This dry shampoo has resolved all my hair issues. It adds volume, keeps my hair ready for styling, and smells great. I get complimented on my hair all the time and have even been asked to show a group of women my perfect ponytail secret, which is simply this spray. If overused, you will get a white powder, but blondes don't have to worry about that. Just spray it around the crown of your head and at the base of the roots. A bottle usually lasts me 2 months and I use it almost every other day to maintain the volume that I like. I don't know how any other Texas woman can last through the summer without this!",5
"ive used it one night only but realized ive got some pimples on my cheeks.i will be trying a few more days, but i agree with some reviewers. its texture is really thickand it feels really dry when you apply it . so far not so impressed... :(( One day after !  )i found out that its better to apply this one first right after you wash face, and then apply other products.feels weird putting cream right away.. but it worked better !",2
"We started with this and later incorporated Dr. Bronners Tea Tree Soap which we now use for shampoo, body & face wash.  We add this to water bottles to clean with or to the laundry.  Great Stuff!btw my daughter bought some BeeBee (sp?) &#34;hair tonic&#34; from the salon for $21 and I tried it and what do you know?  smelled like tea tree oil!  sure enough, 1st ingredient!",5
"The first day I used this in 70-80+ degree weather with bright sun I came back browner just like I used no sunblock at all. And today the 2nd day of a really bright hot day I'm even more darker, really dark, just like I didnt use any sunblock again. And I put on A LOT. Since it didnt work the first time I used it. And that's just from riding inside a car with tinted back windows most of the day. It's not working at all. Plus it goes on so thick and pastey white that I have to wipe my arms off some first and then try and get it off my palms.Im now looking for non natural sunscreen or atleast a stronger higher SPF. 50-80+ SPF",1
The shades are realllly pretty and last for a long time. its perfect for the price. I love L'Oreal products.,5
"As soon as I received this oil I automatically smelled it to see if it smelt of burnt ashes, and surprisingly I was pleasantly surprised that it smelled good. I just mixed it with my almond oil and diluted it with some water and generously applied it to my roots and ends and the next day my hair was nice and soft. I haven't seen any growth yet but I'm sure I will.I recommend this to those who are transitioning to natural hair.",5
"When my hair was long, I'd use conditioner to keep it tangle free.  Now, I just like how my hair feels after I use it.  Neutragena Triple Moisture conditioner makes my hair feel light and healthy and easier to comb through.  It's thicker than most conditioners that come in a bottle.  Maybe that's why this one comes in a tube.  The sweet almond scent is sophisticated, not trendy, and I don't find it overpowering.  I bought the 3-pack on Amazon and have not been disappointed.",4
"I first tried this as a gift with purchase.  It is a small bottle containing a clear serum.  You apply a small amount to your face at night, then follow with your mositurizer. It is odorless and a little goes a long way.Initially, I noticed nothing. However after four weeks for religious use and by that I mean I did not miss a single night,the difference was amazing.  There was marked refinement in skin tone and texture, reduction of pores.  Additionallhy, my skins is softer.This product is a good investment if used as directed.  Although the cost may seem prohibitive, the serum lasts a really long time (not something you will be replacing monthly) and the results, healthier,smoother more beautiful skin, justify the expense.",4
"I had issues with other caps where they would ride around my head all night and I'd find myself having to pull them back into place or wake up in the morning with it almost completely off. Then when I bought ones more snug, they were so snug, they became too uncomfortable to sleep in. THIS cap fits perfect! I was also able to easily hand wash this cap (or machine wash it with my laundry) each time I washed my hair (which is recommended). This cap stays in place and does so with comfort. I would certainly recommend this purchase.",4
i guess i like this because i felt something hot and tinkly and i thought n figured something had  to be working but was it of course not my imagination didnt loose an inch off of this gut not even working out my imagination loved it though so 3 stars it is,3
"Bought two kinds and this is by far better than the other bottle. Great price, great product. Great for hydration.",5
"I love a thick Shea Body Butter, and I adore the Coconut Lime scent by Tree Hut. Put the two together and I am in heaven! I first discovered this scent when I purchasedTree Hut's Shea Sugar Body Scrub in Coconut Limehere on Amazon. I found the smell an irresistible summertime scent and was ecstatic when I learned they made it in a Shea Butter as well.Just as the scent of the Sugar Scrub lingered, so does the lotion. The lime is the dominant smell in this fragrance. Strong but not overpowering, this body butter rivals ones that sell for 3 times as much (and these come in a 3 pack!). Tree Huts Coconut Lime is summertime tropical fragrance your sure to fall in love with!",5
"Normally mascaras just go on but don't really give it a good pop, But this one makes my lashes noticeable and stand out  I really love what it does.",5
I use this on my hair after I wash it and it is great stuff. I also use it on my hair when I blow dry my hair and it cuts my blow drying time in half. It doesn't make my hair hard either. It's a light weight product.,5
"This is a good product for normal to dry skin, it offers excellent coverage with a glowing finish. This is why I wouldn't recommend it if your skin is very oily. It lasts all day if you set it with a powder. I use a mineral veil from the company of my choice to set the powder in my T-zone only. Remember that some setting powders might add more shine and glow so that will work against you if the glow isn't to your liking in the product itself. This is a great product for the cooler times of the year but summer probably will cause this sort of product to melt off your face or give you too much oily shine. The blendability is excellent in this product. I use an F80 flat top Kabuki brush from the big name company that starts with an &#34;S&#34; and ends with an &#34;a&#34; (Amazon prefers you don't post names of other companies in the review).All in all, this is a great product for the price and for being drugstore product. I would recommend it unless you have oily problem skin. It's a slight bit darker on the face than in the bottle. I use Creamy Natural C3, I'm a green eyed blond with cool undertones and it still came out too dark on me. That's not the fault of the seller or the company though, it's a matter of picking the right shade for oneself.",5
"I have short curly hair and most of the flat irons are for longer hair. I had been using flat irons and it made my hair break so I stopped using them. When I found this one I was doubtful that it would work... was I wrong. This flat iron is great. I can get close to the scalp and by being able to select the temperature easily I can avoid my hair breaking. I like the extra long cable and the swivel (no cord getting tangled) that comes with it. Also the flat iron heats very fast and it can go from 130F up to 450F degrees, which I converted from Celsius.I was able to style my hair quickly and it lasted through the day (most of the other irons that I have used did not deliver on styling).I highly recommend this product for anyone that uses a flat iron.",5
"Basically, this is a LONG, narrow ""scarf"" shaped microfiber towel that is used in the shower as a way to exfoliate the skin all over your body. I'm a distance swimmer who uses a ton of sunblock, so by the time I get out of the water, I'm really ready to SCRUB down my skin from head to toe and get all the chlorine and sunblock and salt and sand out of every pore of my skin. This Exfoliator definitely does the trick.The only thing to know about this is that it's NOT soft. This is pretty much the same texture as a brillo pad. It doesn't hurt your skin or anything, but it's not always a pleasant experience, especially if you have any sort of sensitive skin areas or sunburn.But if you want a deep down clean, including your back and other areas that are hard to really get at in order to really scrub down, this is the greatest product for the bath/shower. It's also excellent for traveling- it dries instantly and folds down into northing.",4
This is a really nice sunscreen for oily skin.. it is so smooth and not heavy and it gives a great look.. if you need you can put powder.. most cases powder is not needed.. Love it!!,5
"I understand this stuff is really with a mind to scarred and problem skin, it has heaps of Vitamin E which is good for helping scar tissue to heal. It smells so completely delicious it could fool you into tasting it! Excellent moisturisier and long lasting effects. Great as an aftersun!",5
"The product I received doesn't look exactly like the one here. The cream was a light green. I used it morning and night faithfully for nearly a month with no change. I gave it two stars instead of one because I have very sensitive skin and at least it didn't cause an allergic reaction or anything negative.I don't have significant wrinkles, but the area underneath my eyes is thinning out and so I need more of a firming cream to keep the skin from sagging. I had previously been using a collagen hand cream and a DMAE facial application and both of those work well, but they're not approved for the eye area, so I wanted something that wasn't going to damage by eyes. That's why I tried this product. I've since gone back to what worked for me even though they're not eye creams.",2
"I use a lot of body lotion, especially in the winter, so I'm always looking for a long-lasting, budget-friendly solution. This lotion is amazing! This goes on smoothly with no greasy after-feel, and a little bit goes a long way - something else my budget appreciates! The lotion lasted all day long, even through a rainstorm. My skin felt hydrated and happy all day long. I even like the scent - it's fresh, clean and not over-powering at all.This is a new beauty cabinet staple. And I love that I can save even more with Subscribe & Save!",5
"There is a really good variety of these.  I thought they were a little bigger when I bought them, but now after using them, I am happy they are smaller, they fit on the nail much better.  A lot of fun.  I use them for nails, but I can see how my daughter will probably use them for other craft things as well.",4
"i liked how this is a spray and is easy for applying and reapplying, unfortunately it leaves a oily shine. it doesn't feel oily but makes my arm shiny. u can definitely feel the sunblock, i hate the feeling of sunblock/sunscreen so i dont like this product. i prefer Bull Frog Mosquito Coast Sunblock SPF 30 spray more. obviously, after two application it feels worst. Yes, this protect with spf 70. I think the Helioplex formula is what makes it so shiny.",3
"This is the only detangler I will ever use the rest of my life unless it's no longer made.  It smells delicious, it is silky, and it doesn't have those chemicals or other ingredients (like mineral oil and dimethicone) that really aren't good for you.  It's nutritious, it works and it smells great - like mango or summer fruit.  I recommend it to everyone I know with curly, dry or biracial hair.  They love it too.",5
This is my daughter's favorite perfume that she wears daily.  Needless to say she goes through a lot of it!  This is the very best price I have found for such a large bottle.  I was pleased with the quick delivery as well.,5
"This stuff is pure, natural and completely gentle to any skin or skin problem. I use this on my skin if it is irritated from dermarolling or Retin A and needs a deep hydrating, soothing product. This stuff keeps skin ultra hydrated, plump and comfortable. It can be added to any moisturizer or skin care product to add additional hydrating benefits. A little goes a long way. I put a drop on my whole face and neck and then spray thoroughly with rosewaterHeritage Flower Water Rose 8 oz Liquidto hydrate the skin. Hyaluronic Acid attracts and holds up to 1,000 times its weight in water so it is very hydrating. It also needs water from the air or from something added to the skin surface or it will pull it out of your skin dehydrating it. It's like a liquid sponge so do keep it moist. But it does an amazing job to keep moisture where you want moisture to be, on your skin and in your cells.",5
Very high quality product. I am so happy that I went with this brand. The shea butter is smooth and free of any impurities. So far I have used some of it to make homemade chapstick. I plan to make some whipped body butter as well. This products is so easy to blend and use. I am very happy and will be ordering this shea butter again.,5
"My wife had great success withO'Keeffe's Healthy Feet Creme 3.2oz Jar, which made her want to try their hand cream as well. Once it was in the house, it was there for the trying.Me, I'm your typical guy who works in a factory, fixes stuff around the house, and plays piano on weekends. Every winter is the same story: I don't use hand cream, because it is too greasy and fey, and eventually, my hands dry out and start cracking, causing all kinds of interesting, and at times excruciating sensations in my hands. Then I would give in and start using whatever we had around the house, usually with mixed results. On a recent business trip to Mexico I came across an Italian made moisturizer that worked really great and helped my hands recover, but when that 1.15 ounce bottle ran out, it was back to my usual regimen of Vaseline, Neutrogena, and all your typical remedies, the ones that are so greasy and hard to absorb, you wonder if just dipping your hands in olive oil wouldn't be a better solution. My hands went back to being dry and cracked in a matter of days. Then I tried this product.I could tell right away it was not like anything I'd every used before. It is smooth going on, but not greasy at all after you've applied it and rubbed it in. It also doesn't have any noticeable odor. I did have a little burning at the start, but by the next morning, there were no noticeable ill effects. The dryness, cracking, redness, and itching that my usual regimen failed to address over the previous two weeks was completely healed in two days. Really, this stuff is nothing short of a miracle. What's better, because it doesn't leave your hands greasy, you can go back to your chores, or laundry, or dish washing, or piano playing, and again, your hands feel good, but there are no streaks and oily messes to deal with. You can even wash your hands a few times without taking all the beneficial coating away. Truly amazing.If you are like me and do not have much success with hand moisturizing products but are not ready to give up yet, I suggest you try O'Keeffe's. This stuff really is amazingly effective, and it will probably work for you where other products have not, just like it did for me.",5
The decoration wheel arrived just as described in the description and photo is an accurate depiction.  Nail glue easily keeps these attached to the nail and you will have to change your nail polish before you need to replace the slices!  The designs are great and offer an array of variety!,5
"Yeah it hurts, then you have a stuffy nose AND pain. Didn't do a thing for congestion. I threw it out after one use.",1
this is really good glitter it was a little bigger than what i wanted but it is still really nice. it was nicely packaged and it came faster than expected,5
"I first bought this eyeliner a few months ago when I couldn't find a pencil in the dark brown color I like. I found this eyeliner to be fantastic and recently ordered several more (love it so much, worried what I will do if I can't find it anymore!). Unlike a normal pencil, this eyeliner glides on (similar to liquid, but with the control of a pencil). Sometimes this liner does smudge if you don't use a little powder first, but over all I LOVE the consistency, the silky texture, and gorgeous color!",5
"Title says it all :) It's gentle, easily covers my roots, and gives my hair a luminous golden color with multi dimensional highlights. Will buy again!",5
"I'm not sure if this product actually grows hair because I haven't had it long enough to see results. What I can say about it is that it smells totally fine (contrary to some other reviews I've read). I'm caucasian so I don't think this product was meant for my texture of hair but I don't mind. It definitely makes your root greasy when it's on so I wouldn't go out or anything but for at-home-use, totally fine. I'm also a hairsylist and what I will say is that healthy hair starts from the inside but putting moisture and vitamins on your roots isn't a bad idea.  The concept makes sense.",4
A little goes along way. The product's bottle opening is about a the size of a nickle so I pour slowly. The aroma of this product to me is not appealing but fortunately the smell dissipates quickly. The product leaves a nice shine on the hair.Best usage for me on wet hair. On dry hair my hair started to curl up a little.Note: Review written after 3rd time of usage.Made in ???? - Country of Origin not mentioned on box or on bottle,4
"No lacquerista should be without this, makes cleanup so much easier and less likely to accidentally fall over (unlike the plastic cap to the polish remover bottle!)",5
"I am a retired hairdresser ,for years I have found that Revlon blow dryers just keep going, this one is strong enough to get thick hair the heat is needs for a great blow out.I have my pro blow dryer but with tweenagers always around, having this for them to use at the house is great and nice to have in the guest bath. Very happy with the quality and durabilty.",5
"This is a fantastic, mild cleanser. It lasts for a long time because you only need to use a teeeeny bit. For years I bought it directly from my dermatologist's office and grossly overpaid until I found it here.",5
"need to get more, almost out. its a bit liquidy but it works out well. I need to start using it more.",4
